date,meantemp,humidity,wind_speed,meanpressure
1/1/2019,15.91304348,85.86956522,2.743478261,59
2/2/2019,18.5,77.22222222,2.894444444,1018.277778
3/3/2019,17.11111111,81.88888889,4.016666667,1018.333333
4/4/2019,18.7,70.05,4.545,1015.7
5/5/2019,18.38888889,74.94444444,3.3,1014.333333
6/6/2019,19.31818182,79.31818182,8.681818182,1011.772727
7/7/2019,14.70833333,95.83333333,10.04166667,1011.375
8/8/2019,15.68421053,83.52631579,1.95,1015.55
9/9/2019,14.57142857,80.80952381,6.542857143,1015.952381
1/1/2020,15.91304348,85.86956522,2.743478261,59
2/2/2020,18.5,77.22222222,2.894444444,1018.277778
3/3/2020,17.11111111,81.88888889,4.016666667,1018.333333
4/4/2020,18.7,70.05,4.545,1015.7
5/5/2020,18.38888889,74.94444444,3.3,1014.333333
6/6/2020,19.31818182,79.31818182,8.681818182,1011.772727
7/7/2020,14.70833333,95.83333333,10.04166667,1011.375
8/8/2020,15.68421053,83.52631579,1.95,1015.55
9/9/2020,14.57142857,80.80952381,6.542857143,1015.952381
10/1/2020,14.61904762,75.14285714,10.33809524,1022.809524
11/2/2020,15.26315789,66.47368421,11.22631579,1021.789474
12/2/2020,15.39130435,70.86956522,13.69565217,1020.478261
12/2/2020,18.44,76.24,5.868,1021.04
12/2/2020,18.11764706,76,6.752941176,1019.823529
12/2/2020,18.34782609,68.13043478,3.391304348,1018.869565
12/2/2020,21,69.96,8.756,1018.4
8/6/2021,16.17857143,91.64285714,8.467857143,1017.785714
9/7/2021,16.5,77.04166667,14.35833333,1018.125
10/8/2021,14.86363636,82.77272727,9.690909091,1019.636364
11/2/2021,15.66666667,81.77777778,10.29444444,1017.388889
12/3/2021,16.44444444,77.55555556,4.322222222,1015.833333
1/1/2022,15.91304348,85.86956522,2.743478261,59
2/2/2022,18.5,77.22222222,2.894444444,1018.277778
3/3/2022,17.11111111,81.88888889,4.016666667,1018.333333
4/4/2022,18.7,70.05,4.545,1015.7
5/5/2022,18.38888889,74.94444444,3.3,1014.333333
6/6/2022,19.31818182,79.31818182,8.681818182,1011.772727
7/7/2022,14.70833333,95.83333333,10.04166667,1011.375
8/8/2022,15.68421053,83.52631579,1.95,1015.55
9/9/2022,14.57142857,80.80952381,6.542857143,1015.952381
1/1/2023,15.91304348,85.86956522,2.743478261,59
2/2/2023,18.5,77.22222222,2.894444444,1018.277778
3/3/2023,17.11111111,81.88888889,4.016666667,1018.333333
4/4/2023,18.7,70.05,4.545,1015.7
5/5/2023,18.38888889,74.94444444,3.3,1014.333333
6/6/2023,19.31818182,79.31818182,8.681818182,1011.772727
7/7/2023,14.70833333,95.83333333,10.04166667,1011.375
8/8/2023,15.68421053,83.52631579,1.95,1015.55
9/9/2023,14.57142857,80.80952381,6.542857143,1015.952381
10/1/2023,14.61904762,75.14285714,10.33809524,1022.809524
11/2/2023,15.26315789,66.47368421,11.22631579,1021.789474
12/2/2023,15.39130435,70.86956522,13.69565217,1020.478261
1/1/2024,15.91304348,85.86956522,2.743478261,59
2/2/2024,18.5,77.22222222,2.894444444,1018.277778
3/3/2024,17.11111111,81.88888889,4.016666667,1018.333333
4/4/2024,18.7,70.05,4.545,1015.7
5/5/2024,18.38888889,74.94444444,3.3,1014.333333
6/6/2024,19.31818182,79.31818182,8.681818182,1011.772727
7/7/2024,14.70833333,95.83333333,10.04166667,1011.375
8/8/2024,15.68421053,83.52631579,1.95,1015.55
9/9/2024,14.57142857,80.80952381,6.542857143,1015.952381
10/1/2024,14.61904762,75.14285714,10.33809524,1022.809524
11/2/2024,15.26315789,66.47368421,11.22631579,1021.789474
12/2/2024,15.39130435,70.86956522,13.69565217,1020.478261
1/1/2021,15.91304348,85.86956522,2.743478261,59
2/2/2022,18.5,77.22222222,2.894444444,1018.277778
3/3/2023,17.11111111,81.88888889,4.016666667,1018.333333
4/4/2024,18.7,70.05,4.545,1015.7
5/5/2025,18.38888889,74.94444444,3.3,1014.333333
6/6/2026,19.31818182,79.31818182,8.681818182,1011.772727
7/7/2027,14.70833333,95.83333333,10.04166667,1011.375
8/8/2028,15.68421053,83.52631579,1.95,1015.55
9/9/2029,14.57142857,80.80952381,6.542857143,1015.952381
10/1/2030,14.61904762,75.14285714,10.33809524,1022.809524
